NGO_name,CCReg,Contact_no,Contact,Address,longitude,latitude
Sangeeta Darvekar Charitable Trust,926,"9224320230 , 8108360380 ",,"Sealand Tower, Jesal Park, Near Ashirwad Hospital, Bhayandar East, Thane, Maharashtra 401105",72.85339,19.31507
SANGLI MISSION SOCIETY,7414,"9420678618 , 2660088 ",Roshan Varghese ,"Sri Villa, Raman Mala, Kolhapur, Maharashtra 416003",74.23212,16.71859
Sanjeevani Vikas Evam Jan Kalyan Samiti,12771,9412410547 ,,"Trishul Enterprises Building, Ranikhet Grand Hotel, Almora, Uttarakhand 263645",79.41999,29.65041
SANJOGA,9365,9437264453 ,Amarendra Kumar Sethy ,"Kantabanji, Balangir, Odisha 767039",82.92394,20.44828
Sankalapa Rural Development Society,4448,9986840730 ,Shazar Robinson ,"Dr Eshwar Menasinkai Building, Samudya Bhavan, Lingaraj Nagar North, Hubballi, Dharwad, Karnataka 580031",75.11165,15.37543
SANKALP JYOTI,3005,"9304832180 , 9430954712 ",SANJAY KUMAR ,"ASHOK NAGAR, KANKARBAGH, Patna, Bihar 800020",85.14807,25.58695
Sankalp Rehabilitation Trust,1127,65252685 ,,"S.S. Bengali Municipal School, Thakurdwar Rd, Charni Road, Mumbai, Maharashtra 400002",72.82523,18.95304
"SANKALPA (Disabled Education and Rural
Development organization)",12812,6361427927 ,,"Renuka Krupa, Syedpeer Extinction, Nittuvalli., Davangere, Karnataka 577004",75.92537,14.44917
SANRAKSHAN(Society for Protection of Children),13229,"9483518257 , 9810636987 ",Basavaraj U ,"Kamdenu, 1st , 5th Main Road, Mathikere, Bengaluuru Karnataka 560054",77.56853,13.03257
SANSKRUTI FOUNDATION,11544,9427048411 ,NILESH BHATT ,"DHANUSHDHARI SOCIETY, G.D.HIGH SCHOOL CROSS ROAD, SAIJPUR BOGHA, AHMEDABAD, Gujarat 382345",72.63414,23.05574
Sapna,455,9810408182 ,,"C 93, Defence Colony, New Delhi 110003",77.22735,28.57153
Saraswati Sevabhavi Sanstha Bhatwadgaon,1592,"7588177369 , 7588177368 ",Ramesh Kute ,"Bhatwadgaon, Majalgaon, Beed, Maharashtra 431131",76.19671,19.18284
Sarthak Foundation,8781,"9839561301 , 9984031039 ",Aparnaa Jain ,"Vijyant Khand, Gomti Nagar, Faridi Nagar, Munshi Pulia, Lucknow, Uttar Pradesh 226010",81.00203,26.85633
Sarthak Prayas,907,"45650560 , 9711311354 ",,"Road 70, Punjabi Bagh (West), New Delhi 110026",77.13165,28.66858
Sasakawa-India Leprosy Foundation,10673,"24603439 , 24603440 ",Shubhendra Sachan ,"IETE Building, 2 Institutional Area, Lodhi Road, New Delhi 110003",77.22908,28.5887
Sashakt Foundation,11961,9354754174 ,,"Sector 10, Noida, Gautam Buddha Nagar, Uttar Pradesh 201301",77.33193,28.58974
SATYAKAM JAN KALYAN SAMITI,7295,"9977211251 , 9303576391 ",Shabana Azami ,"Usariya Primary School, Shiv Temple, Chhindwara, Madhya Pradesh 480001",79.03121,22.02333
"SAVE Foundation (Services to AIDS Victims and
Empowerment Foundation)",1177,"2671316 , 2672796 ",Arun Khandagale ,"Yerala Bhavan, Sangli Miraj Road, Vishrambag, Sangli, Maharashtra 416415",74.59877,16.84757
Savitrichya Leki Mahila Vikas Sanstha,13182,9970549211 ,,"Samaj Mandir, Ambedkar Chowk, Sadoli Khalsa, Karvir, Kolhapur, Maharashtra 416001",74.09803,16.599
SEARCH FOUNDATION,8632,"224495 , 9371000213 ",Ganesh Kalaskar ,"Sainagar, Sinhgad Road, Pune, Maharashtra 411030",73.84451,18.50032
SENIOR CITIZENS COUNCIL OF LUDHIANA,11465,"8968253900 , 8288955210 ",Sh. Ashok Pahwa ,"MODEL TOWN EXTENSION, D BLOCK, RAM PARK DANA MANDI ROAD, LUDHIANA, Punjab 141002",75.84212,30.88929
SERVE SAMMAN,5173,"9310286664 , 49055030 ",DIPAK KHANNA ,"M-65, Greater Kailash I, New Delhi 110048",77.23892,28.54533
"Serve, Train, Educate People Society",1198,"222441 , 222441 ",K S Reddy ,"Nagari Street, Srikalahasti, Chittoor, Andhra Pradesh 517644",79.70192,13.75645
Service Initiative for Voluntary Action Trust,2991,"9442215014 , 4953014 ",T. Selwyn ,"Kurunthasala Nagar, Vadamadurai, Coimbatore, Tirunelveli, Tamil Nadu 641017",76.93155,11.09993
Sethu,8748,"9552518664 , 7720013749 ",Helene Menezes ,"Dhonvaddo, Saligao, Bardez, Goa 403511",73.78771,15.54572
SEVA TRUST FOR THE BLIND,7249,9448309957 ,,"MARUTI NAGAR, RANEBENNUR, Haveri, Karnataka 581115",75.63326,14.61806
SGBS Unnati Foundation,7382,9844085864 ,Ms.Harshitha ,"Ganesha Temple Road, NGEF Layout, Sadananda Nagar, Bengaluuru Karnataka 560038",77.65401,12.99497
SHANTHI NILAYAM,13183,8903795586 ,Meenu George ,"Paruthivilai, Erumbukadu, Shanthi Nilayam, Nagercoil, Kanyakumari, Tamil Nadu 629004",77.41662,8.15606
Sharda Mahila Vikas Society,5328,"220811 , 220811 ",Dr. Shobha Shah ,"SEWA Rural Campus, Tower Road, Jhagadia, Bharuch, Gujarat 393110 ",73.19371,21.67172
SHARE AND CARE CHILDREN'S WELFARE SOCIETY,12810,9841271412 ,A.Josephine Lucy ,"Arumugam Street, Perambur, Chennai, Tamil Nadu 600011",80.24289,13.11236
SHARON SOCIETY OF PONDICHERRY,9202,9843483718 ,,"3rd Cross, Kurinji Nagar, Puducherry, Lawspet 605008",79.80583,11.95367
SHETI VA SHETKARI VIKAS BAHUDDESHIYA SANSTHA,12020,9545424777 ,murli surase ,"CHAUDHARI NAGAR MANTHA ROAD, Jalna, Maharashtra 431203",75.87795,19.85096
Shibganj Integrated Development Society,11999,9733510884 ,,"Dakshin Shibganj, Pathar Pratima, Kakdwip, South 24 Parganas, West Bengal 743371",88.32725,21.7677
SHIELD FOUNDATION,10257,"9833406288 , 9769352598 ",Gopika Nair ,"Hall Space, Gandhi Nagar Society, Ambedkar School, Sant Kakkaya Marg, Dharavi, Mumbai, Maharashtra 400017",72.85482,19.0447
Shifting Orbits Foundation,11235,"9341064964 , 9686577038 ",,"Phase 2, Adarsh Palm Meadows, Ramagondanahalli, Bengaluuru Karnataka 560066 ",77.74062,12.95722
"SHIKSHA SADBHAWNA WELFARE JAMIYA SAFIYA
LILBANAT SAMITI",10677,9839054804 ,Mohd Junaid ,"Ahmadi Tola, Kannauj, Uttar Pradesh 209725 ",79.91996,27.04968
Shikshan Ane Samaj Kalyan Kendra,556,"223525 , 223525 ",Rajesh Rathod ,"Omnagar, Hanuman Para Road, Amreli, Gujarat 365601 ",71.16976,21.57447
SHINE CHILD AND WOMEN WELFARE TRUST,10764,9094675760 ,M.Irudhayaraj ,"B Barath Nagar, Annai Violet College Road, Menambed, Ambattur, Tiruvallur, Tamil Nadu 600053",80.16002,13.12274
SHIRDI SAI BABA TEMPLE SOCIETY,3309,"9810397034 , 9310601400 ",KA Pillay ,"SaiDham, Sector 86, Tigaon Road, Niswara, Block Panwari, Mahoba, Faridabad, Haryana 121014",77.35132,28.39996
"Shishu Sarothi (Centre for Rehabilitation & Training
for Multiple Disability)",7333,9435040607 ,,"Shishu Sarothi, Ramkrishna Mission Road, Guwahati, Kamrup Metropolitan, Assam 781016",91.75368,26.16444
Shiv Shiva ‘Sneh’ Sanstha,1098,"2230849 , 9415281386 ",Chandra Kishore ,"Phullanpur, Bikapur, Ghazipur, Uttar Pradesh 233001",83.55685,25.60245
Shradha Bhakti Viswa Kalyan Trust,11571,8376012195 ,Shailendra Kumar Mishra ,"Bhaiya Chowk, AF Rajokari, Rajokari Gaon, South West Delhi, Delhi 110038",77.10841,28.514
Shramjeevi Janata Sahayak Mandal,12196,"9130017122 , 280025 ",,"Mangalwar peth Satara, Maharashtra 415002",73.98384,17.67768
Shree Amrutvahini Gramvikas Mandal,1504,"9011772233 , 2429942 ",Vanita Bhagwat Shinde ,"Anandnagar, Sahyadri Chowk, Wasan Automobile, Navnagaput, MIDC, Ahmednagar, Maharashtra 414111",74.69923,19.15745
Shree Guruvayurappan Bhajan Samaj Trust,468,"25384642 , 9844085864 ",Rupali Gupta ,"Temple Road, Sadananda Nagar, NGEF East, Bengaluuru Karnataka 560038",77.65401,12.99497
Shree Jan Jeevan Kalyan Sansthan,9838,9413307998 ,,"Katman Mohalla, Nagar, Nadbai Road, Nagar, Bharatpur, Rajasthan 321205 ",77.10468,27.41764
Shree Krishnayan Desi Gauraksha Avam Golokdham Sewa Samiti,12639,9760202306 ,Surendar Agarwal ,"Haripur Kalaan, Near Prem Vihar chowk, Haridwar, Dehradun, Uttarakhand 246663 ",78.05932,30.2653
Shree Vishwakarma Charitable Trust,13315,8908905656 ,Anilkumar Vishwakarma ,"Subhash Nagar, MIDC Road, Sulzer Pump Company, Digha, Navi Mumbai, Thane, Maharashtra 400708",73.00613,19.17158
Shri Arbuda Residential Welfare Association,10028,8490920910 ,,"AHMEDABAD, Gujarat 380005 ",72.5988,23.08887
SHRI GAURANG GOSEVA SANSTHA JALGAON,12799,9766466469 ,SUNANDA SAMADHAN SHIRSATH ,"SHIV COLONY JALGAON, GANGA SAGAR APARTMENT Maharashtra 425001",75.57153,21.01393
Shri Guru Jambheshwar Seva Sansthan,4637,"2354581 , 9414334192 ",,"T1 Apple Residency, Chitrakoot, Jaipur, Rajasthan 302021",75.73428,26.90805
Shri Kalyan Women Welfare Society,9249,"274115 , 9929841433 ",,"SBI Bank, DantaRamgarh, Sikar, Rajasthan 332703",75.14634,27.23858
"Shri Maa Vaishnavi Educational And Public Welfare
Society",13246,8878167256 ,Shivani Sahu ,"Parsha Chouraha, Station Road, Sai Central Point, Rai Market., Sagar, Madhya Pradesh 470117",78.34946,24.04069
Shri Pandit Ratnachandraji Jain Kanyashala Trust,895,"25163434 , 25123484 ",Chirag Sheth ,"Cama Lane, Ghatkopar-West, Mumbai, Maharashtra 400086 ",72.89651,19.08276
SHRI TRIBHUVANDAS FOUNDATION,11362,240151 ,Mr. Saurabh Dave ,"Rajodpura, Chikhodra Over Bridge, Anand, Gujarat 388001",72.98447,22.55108
Shri Vansh Gopal Lok Kalyan Samiti,9276,"9039367896 , 7000475757 ",,"Range Coumpound, Datia, Madhya Pradesh 475661",78.54544,25.67796
SIGARAM Academy of Excellence,10000,"9443450063 , 248405 ",,"Sigaram, Johnson Tower, Main Road, Mulagumoodu, Kanyakumari, Tamil Nadu 629167",77.2888,8.26168
Sikshasandhan,11945,9437006109 ,,"VIP Area, IRC , Bhubaneswar, Khordha, Odisha 751015",85.80613,20.28936
SKS Chakshu Foundation,6525,"24963665 , 24963665 ",Gulab Suryavanshi ,"Nirman Kendra, Dr. E. Moses Road, Mahalakshmi, Mumbai, Maharashtra 400011",72.82419,18.98595
Smile always Foundation,5704,9550086860 ,,"Mamatha Nagar, Nagole, Hyderabad, Medchal, Telangana 500068",78.55911,17.3817
SNEHAGRAM FOUNDATION,13196,9096812860 ,,"KORFALE, PANGAON ROAD, BARSHI, Solapur, Maharashtra 413401",75.70089,18.23156
Snehakunja Trust,13237,9448965015 ,,"Vivekananda Arogya Dhama, Kasarkod, Honnavar, Uttara Kannada, Karnataka 581342",74.44144,14.24682
SNEHALAYA CHARITABLE TRUST,1673,"9820484581. , 9869547241 ",,"Pareira Nagar CHS, Khopat, Thane W, Thane, Maharashtra 400601",72.9711,19.19803
SNEHALAYA EDUCATION SOCIETY,13123,"9325455803 , 9146532791 ",,"Anand Nagar, Awhalwadi Road, Wagholi, Pune, Maharashtra 412207",73.9865,18.57737
Snehi,223,9582208181 ,Sudhanshu Mishra ,"Vasant Kunj Enclave, New Delhi 110070",77.1522,28.52452
Social and Development Research and Action Group,1145,4129831 ,Poonam Pathak ,"Sector 30, Noida, Gautam Buddha Nagar, Uttar Pradesh 201303",77.33927,28.5736
"SOCIAL EDUCATION FOR RURAL DEVELOPMENT
(SERD)",2252,"268734 , 268734 ",,"Krishnarajapuram Colony, Manamadurai, Sivagangai, Tamil Nadu 630606",78.43722,9.68166
Social Empowerment and Voluntary Association,1422,"240854 , 9970606335 ",Ashok Pawar ,"Shabri Hotel, Misar Nagar, Jintur Road, Parbhani, Maharashtra 431401",76.74856,19.28518
Social Entrepreneurs Foundation India,6832,8655008036 ,Swati Mankar ,"Redbrick Offices Ltd, HDIL Kaledonia, Sahar Road, Andheri East, Mumbai, Maharashtra 400069",72.85213,19.11906
Social Impact Development Foundation,9726,7053144432 ,,"Pocket 40, C.R Park, New Delhi 110019",77.25566,28.53928
Social Organisation for Voluntary Action (SOVA),4784,9437361026 ,,"Kasipada, Gengutia, Dhenkanal, Odisha 759013",85.5544,20.73686
SOCIETY FOR ALL ROUND DEVELOPMENT (SARD),6478,"28524728 , 28524728 ",Annu Jha ,"KIRTI DEEP BUILDING, NANGAL RAYA COMMERCIAL COMPLEX, NEW DELHI, 110046",77.10087,28.60413
"Society for Community Participation and
Empowerment (SCOPE)",2941,2445044 ,,"Betadur Compound, Malmaddi, Dharwad, Karnataka 580007",74.88355,15.43029
"Society for Helping Integrity Network for
Empowerment SHINE",6416,"8099990221 , 9347738490 ",,"Garib Thota, A.V. Nagar EXTENSION II, TURKAYAMJAL, HYDERABAD, Rangareddy, Telangana 501510",78.58675,17.27573
Society for the Training & Vocational Rehabilitation o,1065,9825407654 ,,"Adarsh Nagar, Dhaniyavi Road, Tarsali, Vadodara, Gujarat 390009",73.21493,22.26051
"SOCIETY FOR TRANSFORMATION, EDUCATION &
PROGRESS (STEP)",12061,"9937265961 , 8457897961 ",Abhijit Nayak ,"Hatigarh Balasore, Baleswar, Odisha 756033",87.2097,21.82889
"Society of Parents of Children with Autistic Disorders
(SOPAN)",10871,9323202768 ,Huafrid Billimoria ,"BMC School Building, Natwar Nagar Road No.5, Jogeshwari East, Mumbai, Maharashtra 400060",72.85259,19.12952
"Socio-Economic and Educational Development
Society (SEEDS)",5170,"9865151573 , 285287 ",P.Shantha ,"Kallakkampatty, Karumalai, Tiruchirappalli, Tamil Nadu 621310",78.36883,10.41163
SOCIO-ECONOMIC DEVELOPMENT ORGANISATION,13146,7002717438 ,,"Dhemaji Civil Hospital, Khubalia, Kuwafala, Dhemaji, Assam 787057",94.5261,27.50108
SOSVA Training and Promotion Institute,632,"26687900 , 26696212 ",Parinita Kanitkar ,"MHADA Commercial Complex, Maharashtra Housing Board Colony, Yerawada, Pune, Maharashtra 411006",73.89661,18.56165
SOUL TRUST,9523,9836253999 ,Sumana Majumdar ,"MULTICON ENCLAVE, HO CHI MINH SARANI, Kolkata, West Bengal 700061",88.29893,22.48461
"South (24PG) Network of People Living With HIV/
AIDS",8605,"9732682644 , 9732670367 ",Sushanta Pramanik ,"Milan Pally, kalibari Lane, Sonarpur, Kolkata, South 24 Parganas, West Bengal 700150",88.44489,22.4641
SPARSHA CHARITABLE TRUST,5973,9223290796 ,Sarika Desai ,"SHRAM SHAKTI, WADALA TRUCK TERMINAL, MUMBAI, Maharashtra 400037",72.87741,19.03412
SPHERULE FOUNDATION,13290,9823451117 ,Rhoma Bhatia ,"City Vista Downtown Building, Kharadi, Pune, Maharashtra 411014",73.94516,18.56128
Sphoorti Foundation,887,"9618695222 , 9959559022 ",,"EC Nagar, HCL, Hyderabad, Rangareddy, Telangana 500051",78.56071,17.30343
SPK Educational Trust,12040,9500247864 ,,"Brindhavan Nagar, Koottapalli Colony, Tiruchengode, Namakkal, Tamil Nadu 637214",77.89206,11.34234
SREE JNANODAYA GRAMEENA VIDYA TRUST,10429,9449678054 ,,"Divine City, M.G.Road, Gangnamidde ward, Chikkaballapura, Karnataka 562101",77.71258,13.43977
SREE NARAYANA GURU MISSION CHARITIES,8613,"8903655336 , 224608 ",MADHARASI MARY ,"V.J. Complex, Bharathiyar Road, Hotel Paris International, Sethilal Nagar, Karaikal, Puducherry 609602",79.82941,10.91699
Sri B D Tatti (Annawaru) Memorial Charitable Trust,12706,8951968006 ,Sagar C Poojari ,"Agastyateertha Road Tatti Annavaru Nagar, Laxmeshwar, Gadag, Karnataka 582116 ",75.50828,15.11897
Sri Chaitanya Seva Trust,1188,"28454565 , 29452400 ",Loknath Char ,"Bhaktivedanta Hospital, Shrishti Complex, Sector 1, Mira Road (E), Thane, Maharashtra 401107",72.86683,19.28457
Sri Joydip Ashram,12258,9007295256 ,Moumita Nag ,"Itbhata Road, Burdwan 3, Bardhaman, West Bengal 713103",87.89527,23.19254
Sri Keshava Trust,4259,"9845011275 , 9945963800 ",B G NATARAJA ,"2nd Main Cross 7th Block Hoskerehalli, Banashankari III Stage, Bengaluru, Karnataka 560085",77.54523,12.93112
SRI SATHYA SAI ANNAPOORNA TRUST,10924,9901999196 ,Sai Prasad Ivaturi ,"Sai Sannidhi, Sathya Grama, Chikkaballapura, Karnataka 562101",77.75473,13.45736
Sri Shiridi Sai Seva Trust,167,9959927721 ,T Adilakshmi ,"6th Lane, A.T. Agraharam, Guntur, Andhra Pradesh 522004",80.43424,16.30402
SRI SOMESWARNATH MAHADEV TRUST (SANMAT),10796,"2540330 , 9798000099 ",Abhishek Kumar ,"Jagdamba Tower, Sahdeo Mahato Marg, Karlo Maruti showroom, Santusti Lane, Boring Road, Patna, Bihar 800001",85.1287,25.60495
"SRI SURIYA EDUCATION ECONOMIC AND SOCIAL
DEVELOPMENT CHARITABLE TRUST",11467,9865376505 ,P JAYABALAN ,"OTTAMPATTU , THIRUVATHIKUNNA, GINGEE TALUK, Viluppuram, Tamil Nadu 604205",79.43826,12.21287
Srijon Foundation,10240,9820285996 ,,"Aram Nagar Part 2, Jp Road, Andheri West, Mumbai, Maharashtra 400061",72.82402,19.12982
SRISTI FOUNDATION,9236,9047787887 ,,"Sristi, Kunamangalam, Thazhuhtali, Tindivanam, Villupuram, Tamil Nadu 604304",79.6275,12.11967
SSHIRSTI,737,"9313748115 , 9810203491 ",Peter Lakra ,"Kabir Apartment, Kishangarh, Vasant Kunj, New Delhi 110070",77.16729,28.51878
SST - Society for Social Transformation,1481,"255050 , 8008663861 ",V.Anjaneyulu ,"Budhawarpet, Kurnool, Andhra Pradesh 518002",78.09785,15.68827
STRAY RELIEF AND ANIMAL WELFARE (STRAW),12304,9958555443 ,,"Sector D, Pocket 2, Vasant Kunj, New Delhi 110070",77.16433,28.50992
STRIPES AND GREEN EARTH FOUNDATTION,12464,9007224436 ,,"Prantik, VIP Road, Sahapara, Deshbandhunagar, North 24 Parganas, West Bengal 700059",88.4335,22.61665
Sugam Jagriti,486,"2672426 , 9430891956 ",Janardhan Choudhary ,"Barai, Islampur, Nalanda, Bihar 801303",85.22372,25.1481
Sujaya Foundation,1795,"23826238 , 9324310455 ",sujaya rai ,"Mithai Mandir, Nana Chowk, Grant Road, Mumbai, Maharashtra 400007",72.81309,18.9617
SUKRUPA,680,"9845261892 , 9900522567 ",Sathiaseelan M ,"Rajiv Gandhi Dental College, Cholanayakanahalli, Bengaluru, Karnataka 560094",77.57546,13.04001
SUNIYE,8996,"9899147999 , 9873031973 ",Vijay Krishnamani ,"Sector 2, R.K.Puram, New Delhi 110022",77.18576,28.56011
"Supporting Association for Thematic and Holistic
Initiatives (SATHI)",6827,9235406351 ,Mr. Lalit Singh ,"Civil Lines, Parikarma Marg, Faizabad, Uttar Pradesh 224001",82.11544,26.77008
SURABHI FOUNDATION TRUST,7729,9844415458 ,Niranjan Raju ,"1st cross, Siddappa Layout, Gubbalala, Kanakapura Main road, Subramayapura, Bengaluru, Karnataka 560061",77.54265,12.89812
Suraksha,650,"224723 , 9437723687 ",suresh kumar patnaik ,"Radha Govind Nagar, pathapatnam Road, Paralakhemundi, Gajapati, Odisha 761200",84.09552,18.77061
SUSHEEL MARTIN FOUNDATION,11347,7899619321 ,,"Ejipura Main Road, Agram, Bengaluru, Karnataka 560047",77.62034,12.95229
SUSHILA FOUNDATION,7039,"9891171856 , 9971721619 ",,"DAYALPUR, GOKULPURI, East Delhi, Delhi 110094",77.29713,28.70481
SUVARNA KARNATAKA INTEGRATED RURAL DEVELOP,8638,"7960740 , 8431804512 ",Nagaraju ,"6TH CROSS SOMESHWARAPURAM, GANESH TEMPLE AUTO STAND NAMMURA AHARA CONDIMENT, TUMAKURU, Karnataka 572102",77.12478,13.29752
Swabhiman - A Disability Information and Resource C,12239,9437013312 ,Mihir Mohanty ,"Budha Nagar, Bhubaneswar, Khordha, Odisha 751006",85.84189,20.26131
Swachh Tan Man Paryavaran Charitable Trust,10649,"9820970219 , 9322893060 ",Rekha Thaker ,"Vishwadeep Heights, K. T. Soni Marg, Mahavir Nagar, Kandivali (West), Mumbai, Maharashtra 400067",72.83817,19.21154
Swachha Bahuuddeshiya Sanstha,9869,9423506957 ,Uday M. Nankar ,"Park Street Apartment, Vishnu Nagar, Shilangan Road, Amravati, Maharashtra 444607",77.74705,20.90098
SWADES FOUNDATION,10949,61093730 ,Tushar Sud ,"Nishuvi, Dr. Annie Besant Road, Worli, Sunville Banquets (Worli), Mumbai, Maharashtra 400018",72.81735,18.99858
"SWAMI SIVANANDA MEMORIAL INSTITUTE OF FINE
ARTS & CRAFTS",2314,"28313555 , 28313555 ",Puran Chand ,"East Avenue, Punjabi Bagh, Delhi 110026",77.14724,28.67188
"SWAMY DAYANANDA SARASWATI EDUCATIONAL
SOCIETY",4994,9262081544 ,BHASKAR K ,"SWAMI DAYANANDA HIGHER SECONDARY SCHOOL, MANJAKKUDI, Tiruvarur, Tamil Nadu 612610",79.49808,10.8336
Swasthya Swaraj Society,8795,"295476 , 7326874618 ",Dr. Jemma Joseph(Aquinas Edassery) ,"MSA Chowk, Chandan Medical, Bhawanipatna, Kalahandi, Odisha 766001",83.16352,19.91091
SWAYAM,5487,"24863409 , 24863409 ",Amrita Dasgupta ,"Deodar Street, Kolkata, West Bengal 700019",88.36024,22.52713
Tamahar Trust,5898,"9663325766 , 9945381030 ",Tripti B G ,"23 Venkat Vihar, 12th main, 15th Cross, Malleswaram, Bengaluru Karnataka 560055",77.56243,13.00627
Tamana,886,"26151587 , 26151587 ",Rubaina Juneja ,"Vasant Vihar, New Delhi 110057",77.16011,28.56222
Tamilnad Kidney Research Foundation,490,"9940168728 , 28341635 ",Mrs. Vasanthi ,"Abiramee Apartments, No.11 Thirumurthy Street, Chennai, Tamil Nadu 600017",80.23809,13.04738
Tarachand Ramnath Seva Trust,11739,"9822039062 , 8208050584 ",Mrs. Poonam Pandit ,"Tridal Hanuman Mandir Lane, Rahul Nagar, Kothrud, Pune, Maharashtra 411038",73.80577,18.50604
TARAI ENVIRONMENT AWARENESS SAMITI,2723,"232727 , 9415036118 ",,"Cha Dussaha North Balrampur, Collectrate Uttar Pradesh 271201",82.29408,27.43942
TARE ZAMEEN FOUNDATION,11156,9958939136 ,,"Shanti Colony, Mandi Pahari, Delhi, South Delhi 110047",77.14206,28.44785
Tarun Chetna,1092,"264412 , 264412 ",Mohd. Sameem ,"Prithviganj Bazar, Patti, Pratapgarh, Uttar Pradesh 230133",82.00225,25.86192
Tata Steel Zoological Society,5348,"6508011 , 2234600 ",Dr.M.Palit ,"Tata Steel Zoological Park, Jubilee Jamshedpur, East Singhbhum, Jharkhand 831001 ",86.1955,22.8136
Teach to Lead,949,"25185821 , 25185823 ",Sara Khan ,"Godrej One, Pirojshahnagar, Eastern Express Highway, Vikhroli (East), Mumbai, Maharashtra 400079",72.92623,19.09367
Team Everest,6660,8939912365 ,Gomathy N ,"Mahaveer Street, Arni Palyam, Arni, Tiruvannamalai, Tamil Nadu 632301",79.27953,12.66407
TEAM HASIRU,11356,9448203615 ,,"11th Main, Hanumanthanagar, Bengaluru Karnataka 560019",77.55985,12.94565
TERRE DES HOMMES CHILDREN'S ORGANISATION FOR RELIEF AND EDUCATION,10615,9843493557 ,,"Perumbakkam Road, Anai Pirandhan , Tiruvannamalai, Tamil Nadu 606603",79.042,12.20492
Thalassemia And Sicklecell Society,1981,"9989706399 , 29885458 ",Ravi Kumar Allam ,"National Police Academy, Raghavendra Colony, Shivarampally, Rajendra Nagar, Rangareddy, Telangana 500052",78.41949,17.32764
The Akshaya Patra Foundation,131,"30143400 , 9164390000 ",Neha Shrivastava ,"Yeshwantpur Industrial Suburb, Rajajinagar Ward 10, Bengaluru Karnataka 560022",77.54647,13.02627
"The Association for Leprosy Education,
Rehabilitation and Treatment - India",7853,"24033081 , 24033082 ",Veera M. Rao ,"Mira Mansion, Sion (West), Mumbai, Maharashtra 400022",72.86384,19.04889
THE ASSOCIATION OF PEOPLE WITH DISABILITY,493,"25475165 , 25470390 ",Sunil Kumar K P ,"6th Cross, Hutchins Road, Lingarajapuram, St Thomas Town, Bengaluru Karnataka 560084",77.62332,13.00727
The Ayauskam,1046,"232642 , 8249831193 ",CHAITANYA SA ,"BRAHMIN PADA, KHARIAR, Nuapada, Odisha 766107",82.75411,20.31859
The COM - DEALL Trust,4681,"25800826 , 9480334809 ",,"6th A Main, II Block, HRBR Layout, Bengaluru Karnataka 560043",77.6422,13.02291
THE CORBETT FOUNDATION,2280,"61466417 , 9820231239 ",Rashid Khan ,"Atlanta, 8th, Nariman Point, Churchgate, Mumbai, Maharashtra 400021",72.82664,18.92727
THE CREDENCE,2283,26172644 ,,"EKTA VIHAR, SECTOR 6, R K PURAM, New Delhi, South West Delhi 110022",77.1753,28.56724
THE CRESCENT FOUNDATION,5033,"9823954885 , 240085 ",Mohammed Sohail ,"MAULANA AZAD NAGAR, JANTA MARKET, NANDED, Maharashtra 431602",77.23146,19.16066
The Evangelical Fellowship of India Commission on Re,1732,"25516383 , 25516384 ",Prem Livingstone ,"Mahatta Tower, B Block Community Centre, Janakpuri, New Delhi 110058",77.09403,28.61138
The Foundation For Social Transformation Enabling North East India,1206,"2733696 , 9435553373 ",Smriti Rekha Das ,"J.N.Borooah Lane, Jorpukhri, Guwahati, Kamrup Metropolitan, Assam 781001",91.7547,26.18942
THE GROW RICH FOUNDATION TRUST,8886,"9952844740 , 9952846946 ",M Sridevi ,"Appukutty Street, Kumbakonam, Thanjavur, Tamil Nadu 612001",79.38409,10.96696
The Kalgidhar Society,4956,"276031 , 9810092292 ",Jaspreet Singh ,"Rajouri Garden, Rajgarh, New Delhi, West Delhi 110027",77.1202,28.64604
"The Karalapakkam Society for Rural and Sustainable
Development",1316,"26840209 , 9444386295 ",P Muniyappan ,"Air Force Nagar, TSP Road, Veerapuram, Chennai, Tamil Nadu 600055",80.09517,13.19001
The Last Truth Foundation,6589,9146046444 ,,"MAJALGAON, MAJALGAON, Beed, Maharashtra 431142",76.136,19.19164
The Live Love Laugh Foundation,8427,41245860 ,Anisha ,"1st Cross, 9th A Main, Indiranagar Stage, Bengaluru Karnataka 560038",77.64218,12.9629
The National Association for the Blind,410,22045482 ,P.Vijayaraghavan ,"Khan Abdul Gaffar Road, Worli Seaface, Mumbai, Maharashtra 400030",72.81145,19.00093
"The New Liberation Education Economic
Development",195,"47455961 , 9840029773 ",Elijah John Mathew ,"Thalambur Main Road, Navalur, Chennai, Tamil Nadu 600130",80.22217,12.84784
THE NISTAR TRUST,11283,2290091 ,,"Gajapati Nagar Extension, Sales Tax Square, Berhampur, Ganjam, Odisha 760010",84.82659,19.31276
The Opentree Foundation,1133,"24388235 , 8080868235 ",Dilip ,"Jagruti Industrial Premises, VSNL colony, Mogul lane, Mumbai, Maharashtra 400016",72.84223,19.03701
The Prajnya Trust,589,"28152954 , 28152954 ",,"Prince Villa, Rajamannar Street, Chennai, Tamil Nadu 600017",80.23879,13.04331
The PRIDE India,3557,"26520601 , 21520602 ",Sangeeta Dasmohapatra ,"American School of Bombay, Bandra Kurla Complex, East, Mumbai, Maharashtra 400098",72.87022,19.06769
THE SAMAJH,11997,9999537998 ,,"Bhagwan Nagar, New Delhi, South East Delhi 110014",77.25907,28.57949
