NGO_name,CCReg,Contact_no,Contact,Address,longitude,latitude
Akhila Bharatha Mahila Seva Samaja,8824,"48148651 , 9480205334 ",Mithun Amin ,"Indiqube Penta, Richmond Road , Bengaluru Urban, Karnataka 560025",77.60362,12.96576
AKSHADHAA FOUNDATION,13360,"8310976860 , 9632220375 ",Shubhajit Bhattacharya ,"2nd Cross, HRBR Layout, Banaswadi,Bengaluru  Urban, Karnataka 560043",77.64623,13.00899
Akshara Foundation of Arts and Learning,11548,28686000 ,,"Sector 8 Charkop, Near MTNL Building Kandivali West, Mumbai, Maharashtra 400067",72.82923,19.20758
ALKHA FOUNDATION,13249,8112243305 ,Narendra Kumar Garwa ,"Alkha foundation,Nehru nagar,Pachar Road,Kishangarh renwal, Jaipur, Rajasthan 303603",75.35787,27.15901
All Creatures Great And Small,11348,9311011991 ,Purnima Bist ,"Gulmohr park, New Delhi,South Delhi 110049",77.21332,28.55629
Ambassadors Service Society,2722,"9474448095 , 8900490667 ",Bimal Mandi ,"Ambassadors Children Home, Telipuskarani, Tilaboni Mahisamura, Kultikri, West Medinipur, Bengal 721135",87.20833,22.17247
Ambuja Cement Foundation,521,"40667530 , 40667522 ",Communications Desk ,"Elegant Business Park, Andheri Kurla Road (E),Mumbai,Maharashtra 400059",72.86731,19.11359
AMMA FOUNDATION RAIBAG,13174,8197074359 ,,"Varji Apartment, Near Saraswati School Dupadal Road, Ghtaprabha, Daneshwari Road,Gokak,Belgaum,Karnataka 591306",74.76909,16.23096
ANAHATA UNITED EFFORTS FOUNDATION,11978,9632775119 ,,"F Cross Road,Jayanagar 4T block, Bengaluru Urban, Karnataka 560041",77.60361,12.92627
Anchalika Jana Seva Anusthan,2630,"9658808914 , 9937924994 ",Manoranjan Behera ,"SUNDHIMUNDA, CHANDOTARA,SINDHEKELA,Balangir,Odisha 767035",82.94258,20.22486
Andhjan Kalyan Trust,316,"223502 , 223502 ",CHINTAN VYAS ,"Aamba Wadi,Junagadh Road,Dhoraji,Rajkot,Gujarat 360410",70.44798,21.73847
Animal Rahat,12294,,Mr. Nair ,"Saket,New Delhi,South Delhi 110017",77.21193,28.52435
ANK,4680,"9810561157 , 9717422882 ",Shubhrajyoti Bhowmik ,"Mahesh Apartments, New Ashok Nagar,Delhi 110092",77.3033,28.5921
ANNAI TRUST,11053,9443070795 ,,"Vanya block,Arini Enclave,Aandalpuram,Madurai,Tamil Nadu 625003 ",78.1054,9.91011
Anubhuti Samiti,13136,"8130698203 , 7838235215 ",Dilip Suthar ,"Vasundhra,Buddha Chawk,Ghaziabad,Uttar Pradesh 201012",77.37098,28.66084
ANUGRAHA TRUST FOR THE HANDICAPPED,3612,"9443120368 , 9869339968 ",Amrita Amodkar ,"Melakattuvilai, Esakiamman Kovil,Manikattipottal,Kanyakumari,Tamil Nadu 629501 ",77.40013,8.13106
Apne Aap Women's Collective,4358,"23819721 , 23083326 ",YSK Prerana ,Municipal School Alankar Cinema Khetwadi Mumbai Maharashtra 400004,72.82461,18.95813
ARASAN RURAL DEVELOPMENT SOCIETY,9369,0944315042 ,Mr. T. Kingsly Moses ,"Anasalai Anna Statue (Silai), Naguneri, Tirunelveli, Tamil Nadu 627501",77.56642,8.53336
AROH Foundation,1403,"3088070 , 3088079 ",,"Sector 8,NOIDA,Gautam Buddha Nagar,Uttar Pradesh 201301 ",77.32671,28.59511
ARTH SHAKTI FOUNDATION,13295,8595080767 ,,"Tri Nagar,Joor Bagh,Sarai Rohilla.,Delhi 110035 ",77.15948,28.67603
ASHA Foundation (Action Service Hope for AIDS),982,"23332921 , 23332921 ",Elsie Jayaprakash ,"SBM Colony,Anand Nagar,Hebbal,Bangalore,Karnataka 560024 ",77.60261,13.05838
Asha Ka Jharna,257,"223094 , 9414036896 ",Vinod Saini ,"Harlal Ka Kothi,Nawalgarh,Jhunjhunu,Rajasthan 333042 ",75.26663,27.84909
Ashadeep Association,979,"28353880 , 9699265651 ",Santosh Panigrahi ,"Shakti Apts,Mumbai,Maharashtra 400099 ",72.86063,19.25501
"Ashoka Trust for Research in Ecology and the
Environment (ATREE)",3610,"23635555 , 8105144986 ",Meetu Desai ,"Royal Enclave,Srirampura,Jakkur Post,Bangalore,Karnataka 560064 ",77.6041,13.07794
Ashray-Akruti,319,"40042250 , 40042250 ",Anusha ,"Sri Nagar Colony,Hyderabad,Telangana 500073 ",78.43314,17.42946
"ASSET TRUST (Association for Social Solidarity &
Empowerment Training Trust)",9650,"4267389 , 4267389 ",,"Muniyandi koil lane,Manjanakara Stree,Madurai,Tamil Nadu 625001",78.1194,9.92016
Association for Democratic Reforms Ahmedabad,11352,7840067840 ,Pradeep Agarwal ,"Gulmohar Commercial Complex,Gautam Nagar, New Delhi,South Delhi 110049",77.2132,28.55926
"Association for Non Traditional Employment for
Women",126,"26210492 , 26200697 ",Girija Viswanathan ,"Shanthi Colony, Annanagar,Chennai,Tamil Nadu 600040",80.21077,13.08251
"ASSOCIATION FOR REHABILITATION OF VILLAGE AND
IMPAIRMENT (ARVI) TRUST",7253,"9843160475 , 9442160475 ",,"ARVI TRUST,Lakshmi Nagar,Seelapadi,Dindigul,Tamil Nadu 624005 ",78.00502,10.38309
